effectively, unexceptable: 0.0
foreseeable, gentle: -0.142563928897
courageous, than: 0.15875560598
broadest, overemotional: 0.245840124552
profitable, quoted: -0.119882825858
pivotal, stress-related: 0.0
nominal, temporary: 1.19845328308
careless, propitious: 0.740361199344
bored, harmless: 1.78923734204
girl, turned: 0.829870237224
female, unprotected: 0.517867849129
insufficient, trippy: -0.267204388169
sluggish, well-prepared: 0.0
unseemly, wish: 0.715034677443
gonna, queer: 2.07993550016
stale, well-off: 0.0
happiest, mixed: 0.67391861916
end-to-end, spatially: 0.0
holy, irrelevant: 0.416153123972
concise, insulting: 0.710991176259
agreed-upon, unwelcome: 0.0
cloudy, hey: 1.03742865893
muscovite, somewhere: 0.264829853154
distraught, laughable: 1.80464939894
brain-dead, gifted: 0.0
narrower, rotten: -0.445568812007
crucial, famous: 1.02520797705
10, dangerous: 0.0
girl, respected: -0.437496650118
dreadful, kinda: 0.936435670371
acceptable, called: 0.52219750015
cool, unremarkable: 1.73333832578
everywhere, ill-defined: 0.0
balanced, unfounded: 0.837966789755
allergic, no: 0.726064806475
fast, impressive: 1.39046086883
ever, pleasant: 0.952241236744
isolated, populous: 2.25343318865
thankyou, unimaginable: -0.202002957027
active, disciplined: 2.50697111194
denser, quadruple: 1.59700167347
nutty, weighted: 0.552019929961
hateful, pushy: 2.93205430889
grimmer, reality: 2.83848317987
independent, lucid: 0.892473004308
mad, state-run: 0.0
reasoned, static: 0.547439666815
coherent, receptive: 2.1550102882
hurt, merry: 0.204653212465
abreast, appealing: 1.40511533919
demand-driven, going: 0.0
actual, displeased: 0.65646212009
partially, reported: 0.678481672475
constant, personalized: 1.00118314716
cost-efficient, low-skilled: 0
displeased, threaded: 0.557205744132
manifestly, turned: 0.68925704077
delicate, genius: 1.37053183713
renowned, vital: 0.775067413564
married, miscellaneous: 0.012212276138
prettier, transnational: -0.401873216815
stepped-up, violated: 0.0
logical, meticulous: 1.2236631709
bare, drawn-out: 0.0
adjacent, occurring: 1.20420194809
dre, hysterical: 1.19421816287
however, obscene: 0.237654150743
continued, respectful: 0.967852846003
perfectly, stocky: 1.40538720747
chilly, innocent: 0.486220360865
infeasible, statewide: 1.20556087099
obscure, repeated: 0.827511219877
inconvenient, wild: 0.05400141024
novel, time-sensitive: 0.0
ideal, insulted: -0.079538414313
bleak, disturbed: 1.87572101895
crude, unconditional: 0.447031267592
disrespectful, unnerving: 2.13144506854
informed, payable: 1.39731251667
unsatisfactory, unsettled: 2.2172874264
incomprehensible, tailored: 0.720864562417
little, specifically: 0.090751619606
prescriptive, vulgar: 1.99097084897
given, multi-layered: 0.0
abnormal, greatest: 0.4939543559
cruel, real: 0.969649439832
increased, vain: -0.020190475059
rescinded, well-balanced: 0.0
completed, heartfelt: -0.097431504741
exponential, rock-solid: 0.0
luckier, precious: 1.70061915667
bogus, treasured: 0.138759564709
greatest, nearby: 0.320547791451
counter-productive, riveting: 0.0
chubby, distressed: 0.873010920838
infallible, plentiful: 1.5608760112
idiots, selected: -0.261359545526
sudden, very: 0.655790213332
concrete, seriously: 0.916093850826
freaky, tenable: 0.60333408
armored, precise: 0.247687534115
lucid, obscure: 1.43660145507
open, skeletal: 0.016269982062
granted, sustained: 0.241870715183
opposed, psychogenic: 0.787929986748
self-sufficiency, tasteful: 0.0
immutable, thus: 0.996656588741
weii, written: 0.0
certain, south: 0.026519141824
truth, wacky: 0.524064667871
collective, shiny: -0.079465859909
light, overwhelming: 0.471436073402
beneficial, leave: 0.152278949706
diligent, insatiable: 1.65355770392
imperative, korea: 0.05389559541
christian, iovely: 0.0
grieved, pending: 1.28890541584
notably, thicker: 0.481996879692
dual, loverly: 0.348839633182
elementary, ruined: 0.362547298112
safeguarded, uncommon: -0.22302915667
representative, unaware: 0.797642890779
fella, graver: 0.380481420129
doctor, previous: -0.019588579566
crazy, rather: 0.971400211263
afresh, jumpy: 0.241276382582
crummy, startled: 0.476116522596
far-ranging, improving: 0.0
improvement, strained: 1.37511523262
dependable, nascent: 0.405817454966
brightest, emphasise: 0.0
energy-efficient, symbolic: 0.0
near, tough: 0.237719514343
started, transient: 0.170223926353
purer, uneconomic: 2.07154890008
marked, underdeveloped: 0.13108887218
entitled, purer: -0.37914835428
concerned, grievous: 1.61081242031
formed, welcomed: 1.32663870615
deader, successful: 0.954440246669
clever, illusory: 1.82125088865
iegitimate, transient: 0.0
ago, scientifically: 0.71993779076
bro, massive: 0.068851854634
humid, tempting: 1.48110538493
free, performed: -0.010397569266
perverse, shut: -0.256062060095
cautious, unbecoming: 1.12485935474
decisive, partial: 0.700209521648
off-putting, payable: 0.0
move, newest: 0.481655582115
displeased, potential: 0.122339411799
cheaper, iil: 0.0
foolproof, possible: 1.86456078864
interesting, outermost: 0.546190585667
berserk, refined: 0.681030341671
compact, maximal: 1.32895181688
inconsiderable, outdated: -0.009981775354
mild, plain: 1.67200056977
independent, largely: 0.670413708331
terrified, troubled: 1.79328011793
justified, refreshing: 0.604479825374
choosy, coming: 0.59116692241
impaired, sacred: 0.613448197549
guys, her: 0.038112281151
disciplined, midget: 0.140685499951
cynical, pleased: 0.931152681592
connected, fucked: 1.03873795139
jolly, thinner: 1.74418742331
deceased, published: 0.699847585916
complete, protected: 0.451452745036
absent, boundless: 0.954157705034
emerged, fitting: 1.09112796725
agreed-upon, identified: 0.0
automatic, symbolic: 1.34850864561
cute, uh-huh: 0.0
exhaustive, unfeasible: 1.44756009667
multicultural, poisonous: 1.14934227063
established, mainly: 0.656514533847
supplemental, wacky: -0.214575188141
third, truthful: 0.20317703883
ineligible, neurotic: 0.300133842765
non-exclusive, resolved: 0.0
ice-cold, sizable: 0.0
cabbage, plain: 1.27074234095
onboard, sacrilegious: -0.706447062162
rarely, this: 0.470913380959
nonsense, preceding: 0.306910601662
on, risky: 0.66178341551
hinky, unitary: 0.537061113469
humid, sinful: 1.25270086223
immaterial, well-formed: 0.0
african, placed: -0.025126534221
abused, pluralistic: 0.694555975884
cuter, disappeared: 1.23478518092
grateful, quickest: 0.148400103748
distinct, solidarity: 0.594079987312
jurisdictional, past: 0.199327538259
disjunct, orderable: 0.829718048569
minimum, moot: 1.18217661005
overambitious, warmer: -0.138689588902
adulthood, wet: 0.596912954173
deficient, released: 0.499725925066
twelve, used: 0.184297681511
answerable, irresponsible: 3.19242826382
efficacy, ten: 0.194486768059
considered, gifted: 1.13224202342
egocentric, touchy: 1.7394240676
fledged, reversed: 1.69631292879
colder, prouder: 2.91285635699
term, upstanding: -0.046600941617
dedicated, talkative: 0.777085858253
skeletal, well-tolerated: 0.0
american, miscellaneous: 1.16481367462
moist, superfluous: 0.689486972458
overheard, preposterous: 1.62768078473
opened, well-timed: 0.0
lackluster, way: 0.540424196359
iegitimate, tan: 0.0
crystal-clear, dominant: 0.0
mental, small: -0.328050209555
acceded, loyal: 0.883630480438
cheerful, still: 0.835395227322
heavyset, observant: 2.50043925397
ephemeral, modern: 1.50379459468
beloved, tasteful: 1.20804646433
repeating, tonight: 0.445014148797
famous, wrongful: 0.44970848042
mixed, treble: 1.30364701519
faultless, justiciable: 0.945898534335
blended, simplifying: 1.02469475928
below, sympathetic: 0.106174146889
heterosexual, sealed: 0.017371598441
afflicted, greater: 0.822338853047
short-lived, well-armed: 0
lovelier, macabre: 1.89106711323
attentive, mixed: 0.523255026984
carefully, unfair: 0.76076654881
girl, paramount: -0.445966811945
north-west, on-going: 0
super, unsanitary: -0.279671271036
inexpensive, suspected: 0.250343267812
illusory, internal: 1.01661302282
costeffective, reasonable: 2.10620494516
in-depth, pro-active: 0
flourishing, traumatic: 0.246702645032
illustrative, longitude: 1.44222859941
complacent, spotless: 1.80522543796
johnny, overridden: 1.29857972597
phenomenal, scrumptious: 1.8814643719
positively, shortly: 0.787732183666
destitute, equally: 0.435667249246
demented, working: 0.140472712066
crude, meaningless: 1.34585443937
ma, peachy: 0.28335683639
armed, jam-packed: 0.0
tonight, understandable: 0.513816852195
at, environmental: 0.395025560641
admiral, coast: 2.18631164223
business-friendly, lost: 0.0
afflicted, rational: 0.770019301086
close, premier: 0.633848530759
drunken, non-competitive: 0.0
challenges, tasty: 0.593628247713
blinded, unlikely: 0.55751936585
booming, untapped: 3.84392853509
easiest, sealed: 0.179929266421
identify, vain: 0.904057128708
twenty, vast: 0.580035187857
gratuitous, relatively: 0.627543316908
abhorrent, hollow: 1.9770216838
reconcilable, ubiquitous: 0.065273501747
kosher, oral: 0.720461999926
fairer, improved: 2.1806491741
breadth, wretched: 0.370719689951
equitable, indigent: 3.1001033301
everywhere, technology-neutral: 0.0
flame-retardant, probable: 0.0
based, wholesome: 0.274229306534
asking, troubled: 0.71028607079
respectable, salient: 0.776153847952
awaited, well-structured: 0.0
industrialised, selective: 0.0
come, primary: 0.208395379402
necessary, painful: 1.72152945768
above, hope: 0.115386795592
doomed, talented: 0.680255437836
outdated, talkative: -0.432446231185
affluent, unbelievable: 0.389555109701
benign, poisonous: 2.48930931078
definitive, generated: 0.277991896927
hypersensitive, seen: 0.567663548281
darker, pretentious: 2.37748968572
focussed, though: 0.192295388502
presumptuous, rigid: 1.37905984616
crushed, state-run: 0.0
large-scale, prior: 0.0
familiar, mysterious: 1.69332129899
implacable, unlawful: 0.892766114511
erroneous, logical: 1.65480882152
illicit, lately: 0.377641539426
abnormal, mighty: -0.113897488094
everywhere, served: 0.230728549358
educated, wait: 0.141444015933
divergent, indiscriminate: 1.52198169366
secondary, well-designed: 0.0
comprehend, feeble: 1.30592474461
impartial, overkill: 1.01326714487
disagreeable, mimi: 1.0181360222
created, issue: 0.062684385295
contemplated, inter-linked: 0.0
mieux, whatever: 1.06918506586
clearly, mindful: 1.37452869968
grievous, reasonnable: 0.0
freaky, smartest: 1.83843393997
builshit, distinguishable: 0.0
here, only: 0.781422277866
hot, supportive: 0.714633447667
justification, random: 1.20130242864
omnibus, previous: 0.625017986888
abnormal, apart: 0.06573324338
deceased, scientific: 0.200856070292
long-standing, unfit: 0.0
favoured, increasingly: 0.0
action-oriented, uniformed: 0.0
crowded, so: 0.682586575775
cloudy, regrettable: 1.43851597799
incidental, run: -0.233124545035
emphasise, this: 0.0
angry, terrifying: 1.9951770775
domestic, known: 0.107914233747
self-sustaining, stranger: 0.0
marine, original: -0.077709514648
contaminated, seamless: 0.175482058658
alone, beautifui: 0.0
politically, speaking: 1.30429707438
fuller, non-self-executing: 0.0
asinine, black: 0.936534082932
obliged, sensational: 0.302662209226
rude, well-written: 0.0
cool, superficial: 1.2964711552
given, slim: 0.502735238247
evey, thankyou: 1.95400224894
ideal, mum: -0.01965532742
amazed, somewhere: 0.54734904835
disgraceful, theoretical: -0.048492534113
contemporary, defenseless: 0.23813660543
cross, former: 0.238277455932
rampant, remediated: 0.598830470099
helpless, phony: 0.874943513134
responsable, stated: 0.654102501209
demented, self-governing: 0.0
round, well-coordinated: 0.0
illusory, motivated: 0.923367960679
bright, troubling: 1.71479507412
gorgeous, south: 0.71596005201
okey, undemanding: 1.09859536146
allright, optimal: 0.438984530274
potential, right-: 0.0
arming, probably: 0.303840940725
advised, rarely: 0.33666923299
disposal, swifter: 0.657180041187
-sorry, lesser: 0.0
captain, pretty: 0.753002389954
acclaimed, shortest: 0.782053094107
exact, prat: 0.097902924328
self-sustained, vital: 0.0
incidental, structured: 1.42399941085
back, scanty: -0.018504492953
principal, suicidal: 0.276555686515
positioned, stricter: 0.258065998767
flashing, regrettably: -0.256438247615
inspiring, rigght: 0.0
indebted, stocky: 0.084484126738
customized, north-east: 0.0
rad, useable: 2.73936132266
dynamite, unsuitable: 1.03461326727
handicapped, unacceptable: 1.40620630199
emaciated, herein: 0.261504669236
say, warmest: 1.22353316332
considerably, judicious: 0.994859808692
plausible, scant: 1.86721084815
excessive, remarkable: 0.563754179468
biased, etcetera: 0.204308749631
geographic, legitimate: 0.614077603413
slimmer, stumpy: 3.15130615178
audience, sore: 0.245483559819
democratically, undisputed: 0.74192963153
deposited, of: 0.0
beter, u.s.: 0.0
better-looking, paradoxical: 0.0
alone, baby-sitting: 0.0
embarrassed, uppermost: 0.588414049181
enlarged, opportunity: 0.734945558181
designed, three: 0.104382225239
enduring, unprejudiced: 1.08243694028
farther, yellow: 0.576414636794
honorable, public: 1.0567676832
clueless, crowded: 0.917282447258
broad, precisely: 1.12765748997
abolitionist, ungrounded: -0.465075191838
homesick, thick: 1.85512175425
efficacious, heaviest: -0.088175412658
around, passionate: 0.271027388745
intolerable, pure: 1.12987195984
dumb, recurrent: -0.031599125493
growing, majeure: -0.210838034363
completely, good-looking: 0.0
decent, weakest: 2.49244010516
convinced, needless: 0.40139158121
abrasive, indefensible: 1.12956894404
discretionary, well-treated: 0.0
fragile, insane: 1.11305555055
disposal, well-armed: 0.0
objectionable, satisfactory: 2.97623617571
limited, shot: 0.233968454562
authentic, unprofitable: 0.102998554615
rampant, viable: 1.22350127202
off-site, talented: 0.0
cooperative, unfathomable: -0.131441388592
finer, mature: 1.40148964912
recognizing, recognizing: 5.92046970436
handed, tabling: 0.968894035998
psychogenic, self-aware: 0.0
appealing, poisonous: 0.691189398199
complicated, invalid: 1.81577725966
cleverer, stupide: 0.0
notable, readyto: 0.103093892408
previous, them: 0.443974668069
indigent, mindful: 0.321464100744
poisonous, unable: 0.310695798007
irate, scant: 0.539996732801
life-long, uptight: 0.0
forlorn, revised: 0.538320602566
heterogeneous, stressful: 1.47467273006
implausible, skilful: 1.07961580606
being, predominantly: 0.915563738229
economical, others: -0.035060070736
humane, tenuous: 0.862875171275
official, quality: 0.206245559954
docile, logical: 0.761324490181
ever-increasing, issue: 0.0
focussed, pray: 0.15002357757
crystal-clear, unoccupied: 0.0
customary, well-represented: 0.0
co-chair, newborn: 0.0
high-availability, noble: 0.0
swifter, vice-chairmen: 0.0
unreasonable, unworkable: 4.29741930868
nosy, rarer: 1.42555399934
equitable, gigantic: 0.238633971427
chubby, topnotch: 0.145541882943
original, useable: 1.47187614902
concise, merry: 0.490068074983
newborn, profane: 0.545624054303
poverty-stricken, sufficient: 0.0
dishonest, growin: 0.034678861747
poor, suspect: 0.38030802133
delighted, stress-related: 0.0
broken, cardinal: 0.676278127639
exorbitant, separate: 0.379246350737
mimi, state-funded: 0.0
unnerving, unreasonable: 2.0065996466
probably, stagnant: 0.630664622038
estimated, germane: -0.28779432161
archaic, greatest: 0.079659666074
productive, wide: 0.808522947908
blessed, wondrous: 3.25162590145
sketchy, under-inclusive: 0.0
elderly, looking: 0.728161225561
burned, do: 1.03931598455
potential, unaffordable: 0.606367829203
consideration, following: 0.593613737249
omnibus, payable: 1.13832169729
exhausting, null: 0.564797865603
education, information: 1.31111547298
awake, lead: 0.44946914461
innumerable, these: 2.97716857682
abolished, two: 0.371471463364
!, them: 0.0
!, illiquid: 0.0
unhealthy, weighted: 1.06304982416
common, tragic: 1.25549968363
bureaucratic, lenient: 1.8806763665
first-rate, realistic: 0.0
dependent, multifocal: 1.47632470804
faithful, flattering: 1.10313087989
categorical, wreckable: 0.0
celebrities, us: 0.658291576109
compensatory, sluggish: 0.438693927655
-just, presently: 0.0
reality, weil: -0.266551692367
affluent, unsound: 0.7628247155
resilient, secondary: 0.849317025567
negligible, user-defined: 0.0
all, relaxing: 0.423737870022
one-sided, satisfactory: 0.0
multidimensional, sensible: 0.921561886092
obligatory, painful: 1.39354993382
influential, plain: -0.663099663236
alarmed, ever-increasing: 0.0
clever, sexy: 2.71304896203
greedy, proportionate: 0.632637455221
opportunity, potent: 0.194613875308
lawful, negligent: 3.33276705437
delayed, detrimental: 1.45626709676
original, trashy: 0.865141307031
specify, welcoming: 0.054634608334
elegante, onerous: 0.0
interesting, useable: 1.67882277626
merciless, nosy: 2.01519776886
bizarre, unimpressive: 2.44638636473
cumbersome, drier: 1.67927683714
culpable, novel: -0.267719113018
engaged, world-wide: 0.0
shut, vis-: 0.0
multi-faceted, wild: 0.0
high-availability, identical: 0.0
faultless, filthy: 1.62153731752
establishment, well-prepared: 0.0
ago, undecided: 1.00056472727
beneficial, government-owned: 0.0
extremely, immoral: 1.27303136998
across-the-board, wonderful: 0.0
freezing, functioning: 1.03766705368
peaceful, truth: 1.71901268483
hiv, secured: -0.994518037915
per, timed: 0.895656343075
ample, green: 0.971218309986
education, so-called: 0.0
saying, tentative: 0.454798979054
demanding, preferable: 0.911006036303
inconclusive, infrequent: 2.37865672676
incorrect, unfettered: 0.646786718131
clever, seamless: 1.62470539203
harmonised, untapped: 0.0
untenable, white: 0.176668830031
brighter, faint: 2.96919143348
spaced, workable: 0.92461471586
apart, problem: 0.599025900004
quadruple, ripe: 0.065506133883
irritating, world-wide: 0.0
inaccurate, superb: 0.610592745046
relatively, usually: 2.26312431276
legality, well-organised: 0.0
adjacent, foreverything: 0.0
hereto, shallow: 0.001006016696
breathtaking, value: 0.423704255743
female, otherwise: -0.065339518272
responsive, unique: 1.68756827112
ferociously, nearby: 0.231095072396
compensatory, pleasurable: 1.74269188148
free-standing, long-lasting: 0
desired, pro: 0.5636353923
bereft, leading: 0.684552297826
careless, ripe: 1.00362482869
case, ecological: 0.610004274186
net, silly: 0.161927648215
leveraged, shared: 0.855529244372
flashing, squeamish: 1.07201347282
forward-looking, preferable: 0.0
addictive, sudden: 0.634640846595
immense, prohibitive: 1.81378749315
newer, sold: 1.17582664902
fairer, liberated: 1.87858023223
foreverything, proactive: 0.0
controlled, degrading: 0.307352584395
sacred, unwell: 1.46487145905
distraught, domestic: 0.729209544566
culpable, unreliable: 1.77076682057
ageing, compulsory: 0.0
consequential, unacceptable: 1.24158087545
bulletproof, non-self-executing: 0.0
aligned, overpriced: 0.373808634744
admitted, exhausting: 0.784602796843
korea, often: 0.351736297363
continued, relaxing: -0.015782084065
retrievable, symmetrical: 1.19700533456
closed, simplified: 0.229196194585
briefly, tasteful: -0.103388272711
abused, happen: 0.611767646738
aesthetic, reliable: 0.134663884327
exemplary, malicious: 0.532978094782
thready, weaker: 0.801992953749
divided, inter-related: 0.0
discussion, minimal: 0.551559228583
mid-sized, unnatural: 0.0
female, well-informed: 0.0
flicka, grass-roots: 0
attractive, terrible: 0.893340508364
unworkable, wetter: 1.05617660966
easiest, thoughtful: 1.26728383968
berserk, wing: 1.35613079074
handy, other: 0.56994755547
amiss, whar: 0.0
part, unidentified: 0.132464907315
arduous, elusive: 2.57197307366
least, sleeping: 0.77025140966
catastrophic, gravest: 3.97109132759
completely, confusing: 1.34787434235
full, kiddo: 1.39773144208
realisable, unfriendly: 0.0
disturbing, reasonably: 0.272759989629
excellent, overlooked: 1.00269499229
inaudible, overwhelmed: 0.658059355022
ever-changing, wonderfui: 0
immutable, unexpected: 1.50686783676
inoffensive, knackered: 2.40170123992
powerful, recognised: 0.0
enjoyable, pointless: 2.85680759799
nice, strained: 0.425456821066
tentative, weil: -0.278768557668
prevailing, uncomplicated: 0.958271765994
prejudicial, rich: 0.624936830039
audacious, lately: 0.312694734473
chickenshit, immersive: 0.059766987562
aligned, courteous: 0.897160051715
jurisdictional, standing: 1.1520723543
injurious, well-organized: 0.0
attended, fierce: 0.436645783069
corrupt, primordial: 1.36424529655
almost, opening-up: 0.0
first-rate, imperative: 0.0
meagre, unconvincing: 0.0
invisible, self-explanatory: 0.0
quoted, relaxed: 1.0181374491
brutal, cabbage: 1.11907101937
macabre, well-served: 0.0
lean, unattractive: 1.63269436655
preferred, vacant: 0.732652622042
snotty, threaded: 0.523338351632
repugnant, tremendous: 0.334000544566
achievable, transitory: 1.56829811286
accuracy, flagrant: 0.253127705647
johnny, off-the-record: 0.0
egocentric, something: 1.1099247673
useful, you: 1.36343162937
isolated, vice-chairman: 0.0
frank, shipshape: 1.54771278173
facultative, self-supporting: 0.0
admirable, recognised: 0.0
multi-ethnic, untenable: 0.0
injured, shallow: 0.767154187171
high-tech, subtler: 0.0
picky, stocky: 1.44810600701
sovereign, varied: 0.112454697883
analogous, surprised: 0.895635611497
feeble, spent: 0.415520474841
griet, motivation: 0.0
across-the-board, valuable: 0.0
intentionally, psychotic: 1.24132391087
immersive, unproblematic: 0.79383198052
furthermore, regretful: 0.732773639387
official, practical: 0.119506177429
assured, exemplary: 1.55224467629
hysterical, tangible: 0.477701400303
accountability, tacky: 0.076550606411
additional, phony: 0.831072248859
babe, stout: 0.900339545345
lenient, opposite: 1.07519457625
decided, realisable: 0.0
awaited, axiomatic: 0.422573186928
binding, imprecise: 1.88638401713
thoughtful, turned: 0.575877983097
chaotic, inadvisable: 1.87500792
-mentioned, discriminate: 0.0
anything, frightening: 1.09819672607
complete, hypersensitive: -0.239130571853
nominal, spatially: 0.962058846705
checked, supportive: 0.54942924327
cost-efficient, powerful: 0.0
inspirational, smarter: 0.947281775349
inter-linked, middle: 0.0
graduate, missing: 0.702608305335
exquisite, wonderful: 3.27476707897
lukewarm, unlimited: 1.09699894052
giant, stipulated: -0.168695269534
additionally, dynamite: -0.192835245823
higher, normal: 2.09506958598
blatant, her: 0.443185829421
momentary, outermost: 1.18803370316
difficult, unable: 3.117705295
initial, younger: 0.400548644091
loveable, praiseworthy: 1.30488749152
obligatory, then: 0.890657053229
subordinate, under-inclusive: 0.0
suddenly, underprivileged: 0.223348278524
drier, pressing: 0.681614780057
beautifui, concentrated: 0.0
fluent, rising: 0.18539548486
inactive, social: 0.192097075276
frightful, heavy-handed: 0.0
innocents, virtuous: 2.89239993938
non-self-executing, pending: 0.0
dull, parallel: 0.749296213978
distracting, tentative: 0.212395293562
maintained, operational: 1.02573919464
full, perplexed: -0.099994308124
death-proof, referenced: 0.0
north-west, underage: 0.0
fourth, sleeping: 0.263087415739
sadder, strange: 3.09277212831
counter-productive, lamentable: 0.0
common, dispute: -0.050752128238
improbable, inter-linked: 0.0
necessarily, preliminary: 0.983431295387
eleven, lastly: 0.578362713786
-sorry, pertinent: 0.0
-me, touching: 0.0
so-called, squat: 0.0
already, salutary: 0.473317391235
cost-effective, distributed: 0.0
clearest, infected: 0.205058265789
contained, humbled: -0.12059978231
presented, swearing: 0.644950090658
deep-rooted, immediately: 0.0
ever-changing, slower: 0.0
easier, korea: 0.56361620415
rooted, way: 0.328835522592
oral, squeamish: 0.747818451044
monstrous, numerous: 0.757414798264
adversarial, irritated: 2.39892314095
gorgeous, scarlett: 1.98214205884
opportune, well-planned: 0.0
identified, simplified: 0.128396805832
callous, dazzling: 0.871386829362
adjacent, harder: 0.054512389465
beastly, favorable: 0.731662882553
circumspect, excited: 2.46083766509
concluded, specific: 0.214001701083
brilliant, less: 0.058484108909
non, thought-out: 0.0
regulated, thereto: 1.64342967488
psychogenic, welcoming: 0.12709740815
attention, further: 0.216027980411
enabled, tremendous: 1.75566435943
impractical, spatially: 1.64117635989
knowledgeable, mistaken: 1.02907580961
buoyant, volatile: 3.51579387711
horny, smarter: 1.92458545126
happiest, tell: 1.48553971641
authorised, worldwide: 0.0
first-rate, unimaginable: 0.0
curious, pronounced: 1.49501825152
fall, rock-hard: 0.0
kane, living: 0.019631825005
sinful, slightly: 0.596040578124
grass-roots, systemic: 0.0
commenced, pushy: 0.189061397077
know, longterm: 0.913208289344
unaffected, world-wide: 0.0
distressing, infrequent: 1.85066285756
self-governing, unseen: 0.0
lucky, syrupy: 0.105062988377
daft, spectacular: 1.26496508962
apt, hour: 0.612298276586
adopted, legit: 0.035608201845
blow, terrible: 1.87084249506
displeased, same: 0.873267821311
recognizing, understood: 1.78051501733
patent, severely: -0.03970695857
emaciated, international: 0.193520952102
encompassing, graceful: 0.717996174801
cuter, tom: 1.9055135714
cold-rolled, infallible: 0.0
awaited, rarer: 1.44172878494
indefensible, long-lasting: 0.0
co-, well-trained: 0
approved, ill-equipped: 0.0
fuzzy, pleasant: 2.16620693233
okay, quality: 0.661233051577
touchy, well-tolerated: 0.0
hey, high-availability: 0.0
required, tougher: 1.23429147396
ice-cold, nessessary: 0
many, sweeter: 0.476256200002
better, unidentified: -0.598791117245
glowing, grievous: -0.204398410417
fake, predictable: 0.646130555011
content, supportive: 0.53481371722
doctor, franco: 0.286118177907
insane, tentative: 0.159298192925
rather, shiny: 0.686816146958
agreeable, hither: 1.46516656656
incredible, innocents: 0.523235259881
distinguished, irregular: 0.261851331459
finite, simplifying: 1.19272246448
material, riveting: 1.04496756442
bi-directional, globalization: 0.0
published, testy: 0.765190456829
almost, belligerent: 0.279523753353
determinable, faithful: 0.976480870867
discreet, resilient: 1.02952296224
cranky, neighbours: 0.0
pleasing, urgent: 0.860308642274
handicapped, untouched: 0.608796301111
anymore, increasing: 0.542391529389
active, rational: 1.43427835145
established, underfunded: 1.32915480371
applicable, gone: 0.495060900298
righteousness, scarlett: 1.33313555987
-lncredible, determinable: 0.0
knowing, related: 0.193046198421
fortunate, laudable: 1.35509044343
humble, misguided: 1.33265737447
intelligent, smokin: 0.614940049327
compensatory, granted: 1.33390426801
biased, profitability: -0.235864292146
disclosed, steeper: 1.42205832501
adorable, apace: 0.020372917225
bottled, brief: 0.421087362725
expressed, intriguing: -0.383642581981
industrialized, prosperous: 4.4829987829
enjoyable, newsworthy: 2.20279619584
horrible, sombre: 2.04957976537
decisive, state-funded: 0.0
non-partisan, one-sided: 0
delicate, socio-economically: 0.0
induced, vice-chairman: 0.0
egocentric, in-house: 0.0
agreed, unprofessional: 0.618785505918
even, sicker: 1.43783852367
supreme, two-thirds: 0.0
go, requested: 0.39565721723
entitled, specify: 0.866541732958
black-hearted, treaty: 0.0
copacetic, snarky: 2.57189197368
rough, volatile: 2.5093778961
systemic, verify: 0.332685272173
nouveau, unreasonable: 0.683433945845
briefly, deepest: 0.76532466102
cultural, idle: 0.412335815907
displeased, socio-economically: 0.0
hip, inflexible: 0.727712357094
complicated, vast: 1.02041216203
apt, provided: 0.520685686447
alike, usual: 0.635947032459
disturbing, gonna: 0.696561877731
christian, hence: 1.07649475813
most, seventh: 0.826547099259
medium-sized, policy: 0.0
ecological, optimistic: 0.388456830154
instrumental, three: 0.264884138301
bulletproof, respected: 1.19405961689
-mentioned, accelerating: 0.0
adapted, patient: -0.106301270622
starker, wealthier: 3.42543089094
lackluster, wretched: 3.55164897908
overwrought, sinful: 1.82946855241
timid, warmth: 1.16378522
perfectly, written: 0.233947017518
disagreeable, long-winded: 0.0
awaited, yellow: 0.326896507459
memorable, political: 0.472880764439
female, other: 0.834189069591
customized, participants: 1.00255452895
freaky, going: 1.16723165796
official, optimistic: 0.740066822281
observant, traded: 0.152997452218
sicker, welcome: 0.193880328792
hunger, interwoven: 0.682055045927
revised, sicker: 0.992977898055
automated, well-founded: 0.0
flavorful, substantive: 1.6528329624
hostile, improper: 2.50977906558
clearer, emotional: 1.24532654467
arranged, christian: 0.352249982604
desperate, happening: 1.42762244132
elaborate, high-tech: 0.0
executed, underdeveloped: 0.530670068208
recognizing, tepid: 0.16892270659
looking, ravenous: 0.772279351926
-sorry, constructive: 0.0
preferred, unused: 1.117138134
counter, integrating: 0.321568803233
neighbours, undemanding: 0.0
preponderant, treasured: 1.27566709242
multidimensional, sorry: -0.027340896861
fledged, precarious: 1.08403683038
graceful, individualized: 1.03222130636
facilitated, fourteen: 0.565262458552
suspicious, underpaid: 0.809439240412
alien, dressed: 1.6450046101
all, socio-economically: 0.0
non-binding, skint: 0.0
exhaustive, inconsequential: 1.19049751657
guaranteed, specialized: 0.455063429524
frequent, of: 0.0
hip, intentional: 1.14629052078
harder, inalienable: 1.02073799314
thank, truer: -0.07859769139
iate, unusual: 0.0
detrimental, lethal: 1.87508751118
apolitical, uneasy: 1.99259099574
addition, bummed: -0.372106252314
unjust, well-served: 0.0
dysfunctional, stupide: 0.0
go, smooth: 0.604134070309
appreciable, presentable: 1.04205608875
injurious, sustained: 1.880792783
trippy, unsolved: 0.152420765688
better-iooking, flawless: 0.0
ourselves, tardy: 0.196228635858
limber, on-going: 0.0
